CHROMATOGRAM	
Unknown2inEtOH.raw	
Data points: 11180	
Time	Intensity
2.108333333	1608850
2.11	1601950
2.111666667	1595320
2.113333333	1588590
2.115	1581410
2.116666667	1573960
2.118333333	1566570
2.12	1558010
2.121666667	1550680
2.123333333	1544340
2.125	1537000
2.126666667	1530720
2.128333333	1524000
2.13	1518570
2.131666667	1512810
2.133333333	1507230
2.135	1501700
2.136666667	1495860
2.138333333	1489700
2.14	1483350
2.141666667	1477470
2.143333333	1471430
2.145	1465340
2.146666667	1459080
2.148333333	1453030
2.15	1447330
2.151666667	1441010
2.153333333	1434590
2.155	1427730
2.156666667	1420970
2.158333333	1414730
2.16	1408170
2.161666667	1402130
2.163333333	1396340
2.165	1390780
2.166666667	1385530
2.168333333	1379750
2.17	1375030
2.171666667	1371030
2.173333333	1366330
2.175	1361700
2.176666667	1357010
2.178333333	1352250
2.18	1347240
2.181666667	1342600
2.183333333	1338110
2.185	1333530
2.186666667	1328940
2.188333333	1323780
2.19	1318230
2.191666667	1313090
2.193333333	1307240
2.195	1301740
2.196666667	1297400
2.198333333	1293690
2.2	1289270
2.201666667	1284640
2.203333333	1280210
2.205	1275290
2.206666667	1270300
2.208333333	1265800
2.21	1261550
2.211666667	1257440
2.213333333	1253680
2.215	1249870
2.216666667	1245170
2.218333333	1239650
2.22	1234070
2.221666667	1228440
2.223333333	1223130
2.225	1218230
2.226666667	1213880
2.228333333	1209840
2.23	1205870
2.231666667	1201680
2.233333333	1197750
2.235	1193770
2.236666667	1189990
2.238333333	1186470
2.24	1183590
2.241666667	1180480
2.243333333	1177510
2.245	1174300
2.246666667	1170660
2.248333333	1166680
2.25	1162340
2.251666667	1158400
2.253333333	1154430
2.255	1150400
2.256666667	1146500
2.258333333	1142810
2.26	1139940
2.261666667	1136890
2.263333333	1133970
2.265	1131120
2.266666667	1128600
2.268333333	1126030
2.27	1123410
2.271666667	1121090
2.273333333	1118200
2.275	1114650
2.276666667	1112080
2.278333333	1108830
2.28	1105640
2.281666667	1102830
2.283333333	1099680
2.285	1096540
2.286666667	1093420
2.288333333	1090260
2.29	1087500
2.291666667	1084660
2.293333333	1081660
2.295	1078650
2.296666667	1075850
2.298333333	1072980
2.3	1070800
2.301666667	1068420
2.303333333	1066210
2.305	1063550
2.306666667	1061580
2.308333333	1059660
2.31	1056960
2.311666667	1054030
2.313333333	1050710
2.315	1047800
2.316666667	1045140
2.318333333	1042620
2.32	1040320
2.321666667	1038180
2.323333333	1036000
2.325	1033940
2.326666667	1031320
2.328333333	1029520
2.33	1027700
2.331666667	1025570
2.333333333	1023530
2.335	1021250
2.336666667	1019350
2.338333333	1017300
2.34	1015010
2.341666667	1012440
2.343333333	1009930
2.345	1007330
2.346666667	1005090
2.348333333	1003230
2.35	1001220
2.351666667	999280
2.353333333	997460
2.355	995420
2.356666667	993910
2.358333333	992690
2.36	991000
2.361666667	989440
2.363333333	987370
2.365	985340
2.366666667	983040
2.368333333	981380
2.37	979700
2.371666667	978310
2.373333333	976470
2.375	974780
2.376666667	972040
2.378333333	969770
2.38	967720
2.381666667	965520
2.383333333	963690
2.385	961520
2.386666667	959590
2.388333333	957690
2.39	955680
2.391666667	953940
2.393333333	952480
2.395	950690
2.396666667	948980
2.398333333	947200
2.4	945620
2.401666667	944290
2.403333333	942920
2.405	941220
2.406666667	939740
2.408333333	937930
2.41	936490
2.411666667	935010
2.413333333	933590
2.415	932260
2.416666667	930310
2.418333333	928510
2.42	927160
2.421666667	925570
2.423333333	924220
2.425	923270
2.426666667	922040
2.428333333	920750
2.43	919420
2.431666667	918290
2.433333333	917740
2.435	916550
2.436666667	915470
2.438333333	914050
2.44	912250
2.441666667	910640
2.443333333	908600
2.445	906700
2.446666667	905110
2.448333333	903650
2.45	902320
2.451666667	901030
2.453333333	899990
2.455	898670
2.456666667	897600
2.458333333	896480
2.46	894980
2.461666667	893120
2.463333333	891800
2.465	890290
2.466666667	889250
2.468333333	887780
2.47	886080
2.471666667	884310
2.473333333	882910
2.475	881010
2.476666667	879660
2.478333333	878740
2.48	878100
2.481666667	877570
2.483333333	876860
2.485	875870
2.486666667	874720
2.488333333	873290
2.49	872250
2.491666667	871620
2.493333333	870740
2.495	870070
2.496666667	869320
2.498333333	868270
2.5	867370
2.501666667	866440
2.503333333	865090
2.505	863310
2.506666667	861630
2.508333333	860010
2.51	858050
2.511666667	856290
2.513333333	854800
2.515	853630
2.516666667	852550
2.518333333	851530
2.52	850910
2.521666667	850220
2.523333333	849420
2.525	848510
2.526666667	847560
2.528333333	846380
2.53	844960
2.531666667	843970
2.533333333	843270
2.535	842720
2.536666667	842040
2.538333333	841250
2.54	840330
2.541666667	839220
2.543333333	838170
2.545	836980
2.546666667	836230
2.548333333	835670
2.55	834780
2.551666667	834010
2.553333333	833330
2.555	832400
2.556666667	831380
2.558333333	830790
2.56	830190
2.561666667	829890
2.563333333	829440
2.565	828830
2.566666667	828040
2.568333333	826770
2.57	825910
2.571666667	825090
2.573333333	824240
2.575	823180
2.576666667	821760
2.578333333	821010
2.58	820400
2.581666667	819910
2.583333333	819600
2.585	819140
2.586666667	818610
2.588333333	817960
2.59	817520
2.591666667	816880
2.593333333	816090
2.595	815350
2.596666667	814620
2.598333333	813560
2.6	812510
2.601666667	811360
2.603333333	810310
2.605	809410
2.606666667	808740
2.608333333	807770
2.61	806550
2.611666667	805470
2.613333333	804190
2.615	802960
2.616666667	802680
